地区,新增确诊,累计确诊,治愈,死亡
美国,23129,82103067,79959456,1012461
印度,796,43036928,42504329,521723
巴西,8803,30161205,29076974,661389
法国,25492,26972867,24198828,143466
德国,92639,22771886,18618400,132311
英国,22417,21641004,19800657,170107
俄罗斯,11855,18007915,17239857,371964
韩国,90928,15424598,969524,19679
意大利,28368,15320753,13927128,160863
土耳其,6893,14965867,14661828,98437
西班牙,0,11627487,11033321,103104
越南,23184,10250160,8554923,42830
阿根廷,1590,9054126,8886999,128233
荷兰,6624,7995537,7093759,22101
伊朗,3125,7194768,6922629,140650
日本,47876,7039563,6509598,28684
哥伦比亚,301,6088335,5921483,139725
印度尼西亚,1196,6033903,5808380,155674
波兰,382,5978597,5333737,115635
墨西哥,392,5722933,5022194,323725
澳大利亚,42726,5107611,4624577,6569
乌克兰,417,4985150,0,108139
马来西亚,7739,4333557,4163777,35311
以色列,8314,4006177,3941841,10591
奥地利,8033,3995418,3799939,16242
比利时,8540,3943831,3598674,31079
泰国,22387,3905872,3634109,26191
捷克,1396,3863732,3784772,39912
南非,0,3732075,3619311,100096
葡萄牙,3495,3686491,0,21935
菲律宾,273,3681646,3594516,59777
加拿大,4963,3579511,3344640,38044
秘鲁,260,3551800,0,212507
智利,2271,3514291,3229435,57081
瑞士,0,3512093,3057554,13752
希腊,6926,3180556,2981203,28205
丹麦,1698,2938487,2893894,5921
罗马尼亚,1026,2873875,2606660,65210
瑞典,0,2491980,2449763,18472
伊拉克,207,2322081,2289201,25186
塞尔维亚,1096,1990511,1948245,15890
孟加拉,44,1952109,1889230,29124
匈牙利,4657,1872664,1731816,45781
斯洛伐克,1024,1751565,1670630,19595
约旦,0,1694216,1678941,14048
格鲁吉亚,107,1651577,1631715,16777
巴基斯坦,98,1526666,1486879,30361
爱尔兰,1715,1493066,1339295,6884
挪威,784,1416712,0,2667
哈萨克斯坦,12,1305304,1290528,13660
摩洛哥,22,1164052,1147271,16061
保加利亚,871,1146279,941685,36730
新加坡,2568,1140569,1073473,1303
克罗地亚,82,1109148,1087862,15694
古巴,496,1097333,1086086,8519
黎巴嫩,131,1094803,1073770,10345
立陶宛,637,1042126,991468,8978
突尼斯,0,1037358,0,28425
斯洛文尼亚,524,988066,951842,6538
尼泊尔,22,978593,966074,11951
白俄罗斯,302,970443,928536,6877
芬兰,0,920692,46000,3334
玻利维亚,90,903396,848782,21899
乌拉圭,358,894267,883659,7183
阿联酋,208,893970,874607,2302
厄瓜多尔,0,865263,0,35508
哥斯达黎加,0,841343,820853,8327
危地马拉,87,835425,813310,17379
拉脱维亚,180,808979,785988,5684
阿塞拜疆,16,792253,782351,9703
新西兰,7633,774928,702993,469
巴拿马,136,767067,756804,8177
沙特阿拉伯,130,751943,737482,9058
斯里兰卡,65,662657,642508,16492
巴拉圭,0,648446,624673,18734
科威特,0,630252,626264,2555
缅甸,42,612383,590973,19434
巴勒斯坦,0,581678,575613,5352
多米尼加,0,578531,574035,4375
爱沙尼亚,277,564308,496050,2495
巴林,529,560552,554544,1473
委内瑞拉,75,521546,514206,5696
摩尔多瓦,43,515488,502002,11470
埃及,0,511977,442182,24522
利比亚,0,501834,490837,6429
埃塞俄比亚,46,470096,453583,7509
蒙古,15,469151,313256,2177
塞浦路斯,2254,459839,124370,985
亚美尼亚,1,422678,410341,8621
洪都拉斯,0,421268,131100,10888
阿曼,23,388709,383749,4254
波黑,117,376198,192218,15740
卡塔尔,154,362937,361013,677
留尼汪,0,347941,331736,720
肯尼亚,16,323557,317782,5648
赞比亚,54,317804,313073,3967
北马其顿,23,307817,297354,9252
博茨瓦纳,0,305526,302476,2686
阿尔巴尼亚,0,274219,270341,3493
阿尔及利亚,3,265727,178323,6874
尼日利亚,27,255633,249825,3142
津巴布韦,37,247010,240496,5460
乌兹别克斯坦,17,238088,236022,1637
黑山,29,233750,230594,2706
卢森堡,1896,225562,209975,1050
莫桑比克,3,225296,223047,2200
吉尔吉斯斯坦,0,200970,196303,2991
老挝,662,196127,7660,700
冰岛,0,183363,75685,102
马尔代夫,655,178313,163687,298
阿富汗,232,178206,161319,7676
乌干达,3,163996,100200,3596
萨尔瓦多,0,162089,150662,4122
加纳,23,161071,159592,1445
纳米比亚,0,157896,153069,4021
马提尼克岛,0,147519,104,918
特立尼达和多巴哥,125,140457,130528,3783
法属瓜德罗普岛,0,140130,2250,854
文莱,281,138811,136183,215
柬埔寨,16,135963,132639,3055
卢旺达,0,129750,45522,1458
牙买加,30,129050,82017,2916
喀麦隆,0,119780,117791,1927
安哥拉,0,99194,97149,1900
刚果（金）,0,86748,50930,1337
马耳他,433,86595,76401,664
塞内加尔,2,85952,83962,1965
马拉维,2,85705,81489,2628
科特迪瓦,1,81829,80989,797
法属圭亚那,0,79529,11254,394
苏里南,0,79241,49392,1325
法属波利尼西亚,42,72570,0,648
圣大巴巴拉群岛,281,70419,68940,157
斯威士兰,22,69990,68548,1395
斐济,0,64499,62644,834
马达加斯加,0,64089,59355,1390
圭亚那,0,63326,61991,1226
巴巴多斯,211,62425,59324,379
苏丹,47,62034,0,4925
新喀里多尼亚,0,60362,59941,312
毛里塔尼亚,2,58679,57684,982
伯利兹,0,57318,56456,656
佛得角,1,55973,55510,401
叙利亚,3,55745,51870,3146
加蓬,0,47588,47270,303
巴布亚新几内亚,152,43526,42800,643
不丹,634,42856,33132,14
库拉索,0,41153,40306,270
塞舌尔,0,40866,39963,164
安道尔,0,40328,39702,153
布隆迪,0,38663,773,38
毛里求斯,46,37149,34934,985
马约特岛,0,36958,2964,187
多哥,0,36957,36659,272
几内亚,0,36459,35976,440
Faeroe Islands,0,34658,7693,28
阿鲁巴,0,34189,33893,212
坦桑尼亚,0,33815,0,800
巴哈马,2,33360,32241,789
莱索托,0,32910,24155,697
海地,1,30586,29100,835
马里,12,30578,29670,729
Isle of Man,0,28416,26794,87
贝宁,0,26952,25506,163
索马里,0,26471,13182,1350
刚果（布）,0,24079,20178,385
圣卢西亚,8,23045,22616,365
东帝汶,0,22842,22697,130
开曼群岛（英属）,0,21121,8553,25
布基纳法索,0,20853,20439,382
尼加拉瓜,0,18491,4225,225
塔吉克斯坦,0,17388,17264,124
南苏丹,20,17353,13514,138
直布罗陀,0,17236,16579,101
列支敦士登公国,27,16784,16345,84
赤道几内亚,0,15904,15696,183
圣马力诺,502,15683,15225,114
吉布提,1,15595,15402,189
中非共和国,0,14649,6859,113
格林纳达,0,14064,13793,219
百慕大,0,12711,12362,129
所罗门群岛,0,12005,10805,137
冈比亚,0,11990,11591,365
格陵兰,0,11971,2761,21
多米尼克,0,11953,11757,63
也门,1,11814,9000,2147
摩纳哥,42,11194,10946,54
圣马丁岛（法属）,0,10176,1399,63
圣马丁岛,12,9873,9716,86
厄立特里亚,1,9732,9625,103
库拉索岛,8,9000,8647,33
尼日尔,8,8846,8488,308
Tonga,216,8444,6645,9
几内亚比绍,0,8173,7268,170
科摩罗,1,8100,7933,160
塞拉利昂,0,7677,0,125
安提瓜和巴布达,0,7511,7358,135
利比里亚,2,7402,5747,294
乍得,31,7378,4874,192
圣文森特和格林纳丁斯,0,6748,6639,106
英属维尔京群岛,0,6162,0,62
圣多美和普林西比民主共和国,0,5948,5872,73
Turks and Caicos,0,5923,5859,36
圣基茨和尼维斯,0,5554,5506,43
瓦努阿图,0,5480,3621,4
St. Barth,0,4313,0,6
Palau,0,4098,3785,6
萨摩亚,0,3665,1605,7
Cook Islands,278,3449,2734,0
Kiribati,0,3069,2595,13
Anguilla,14,2731,2716,9
Saint Pierre Miquelon,0,2509,2361,1
钻石号邮轮,0,712,699,13
Wallis and Futuna,0,454,438,7
蒙特塞拉特,0,176,173,2
马尔维纳斯群岛,0,128,0,0
梵蒂冈城,0,29,29,0
西撒哈拉,0,10,8,1
尚丹号,0,9,7,2
Niue,0,7,7,0
马绍尔群岛,0,7,7,0
Nauru,0,3,3,0
圣赫勒拿岛,0,2,2,0
密克罗尼西亚,0,1,1,0
